t_in,p_in,e_cond,e_boiler,styr_flow,specific_energy,anomaly
314.203,60000.0,7128.94,8674.14,4.40306,3588.939423219639,0
315.782,20000.0,7128.94,8655.7,4.40306,3584.6592740120814,0
315.782,22105.3,7128.94,8655.69,4.40306,3584.6592740120814,0
315.782,24210.5,7128.94,8655.67,4.40306,3584.6592740120814,0
315.782,26315.8,7128.94,8655.66,4.40306,3584.6592740120814,0
315.782,28421.1,7128.94,8655.64,4.40306,3584.6592740120814,0
315.782,30526.3,7128.94,8655.63,4.40306,3584.6592740120814,0
315.782,32631.6,7128.94,8655.62,4.40306,3584.6592740120814,0
315.782,34736.8,7128.94,8655.6,4.40306,3584.6592740120814,0
315.782,36842.1,7128.94,8655.59,4.40306,3584.6592740120814,0
315.782,38947.4,7128.94,8655.57,4.40306,3584.6592740120814,0
315.782,41052.6,7128.94,8655.56,4.40306,3584.6592740120814,0
315.782,43157.9,7128.94,8655.54,4.40306,3584.6592740120814,0
287.1098012448497,45263.2,7128.94,8655.53,4.40306,3662.380166210171,1
315.782,47368.4,7128.94,8655.52,4.40306,3584.6592740120814,0
315.782,49473.7,7128.94,8655.5,4.40306,3584.6592740120814,0
315.782,51578.9,7128.94,8655.49,4.40306,3584.6592740120814,0
315.782,53684.2,7128.94,8655.47,4.40306,3584.6592740120814,0
315.782,55789.5,7128.94,8655.46,4.40306,3584.6592740120814,0
315.782,57894.7,7128.94,8655.44,4.40306,3584.6592740120814,0
315.782,60000.0,7128.94,8655.43,4.40306,3584.6592740120814,0
317.361,20000.0,7128.94,8636.92,4.40306,3580.379124804524,0
317.361,22105.3,7128.94,8636.91,4.40306,3580.379124804524,0
317.361,24210.5,7128.94,8636.9,4.40306,3580.379124804524,0
317.361,26315.8,7128.94,8636.88,4.40306,3580.379124804524,0
317.361,28421.1,7128.94,8636.87,4.40306,3580.379124804524,0
317.361,30526.3,7128.94,8636.85,4.40306,3580.379124804524,0
317.361,32631.6,7128.94,8636.84,4.40306,3580.379124804524,0
317.361,34736.8,7128.94,8636.82,4.40306,3580.379124804524,0
317.361,36842.1,7128.94,8636.81,4.40306,3580.379124804524,0
317.361,38947.4,7128.94,8636.8,4.40306,3580.379124804524,0
317.361,41052.6,7128.94,8636.78,4.40306,3580.379124804524,0
317.361,43157.9,7128.94,8636.77,4.40306,3580.379124804524,0
317.361,45263.2,7128.94,8636.75,4.40306,3580.379124804524,0
317.361,47368.4,7128.94,8636.74,4.40306,3580.379124804524,0
317.361,49473.7,7128.94,8636.72,4.40306,3580.379124804524,0
317.361,51578.9,7128.94,8636.71,4.40306,3580.379124804524,0
317.361,53684.2,7128.94,8636.7,4.40306,3580.379124804524,0
317.361,55789.5,7128.94,8636.68,4.40306,3580.379124804524,0
479.5678564278038,57894.7,7128.94,8636.67,4.40306,3140.689734050989,1
317.361,60000.0,7128.94,8636.65,4.40306,3580.379124804524,0
318.939,20000.0,7128.94,8618.08,4.40306,3576.1016862677757,0
318.939,22105.3,7128.94,8618.07,4.40306,3576.1016862677757,0
318.939,24210.5,7128.94,8618.05,4.40306,3576.1016862677757,0
318.939,26315.8,7128.94,8618.04,4.40306,3576.1016862677757,0
318.939,28421.1,7128.94,8618.02,4.40306,3576.1016862677757,0
318.939,30526.3,7128.94,8618.01,4.40306,3576.1016862677757,0
318.939,32631.6,7128.94,8617.99,4.40306,3576.1016862677757,0
318.939,34736.8,7128.94,8617.98,4.40306,3576.1016862677757,0
295.41637404350524,36842.1,7128.94,8617.97,4.40306,3639.863781801252,1
318.939,38947.4,7128.94,8617.95,4.40306,3576.1016862677757,0
318.939,41052.6,7128.94,8617.94,4.40306,3576.1016862677757,0
318.939,43157.9,7128.94,8617.92,4.40306,3576.1016862677757,0
336.06373685159485,45263.2,7128.94,8617.91,4.40306,3529.682161970764,1
318.939,47368.4,7128.94,8617.89,4.40306,3576.1016862677757,0
318.939,49473.7,7128.94,8617.88,4.40306,3576.1016862677757,0
318.939,51578.9,7128.94,8617.87,4.40306,3576.1016862677757,0
318.939,53684.2,7128.94,8617.85,4.40306,3576.1016862677757,0
318.939,55789.5,7128.94,8617.84,4.40306,3576.1016862677757,0
318.939,57894.7,7128.94,8617.82,4.40306,3576.1016862677757,0
318.939,60000.0,7128.94,8617.81,4.40306,3576.1016862677757,0
320.518,20000.0,7128.94,8599.17,4.40306,3571.8215370602184,0
320.518,22105.3,7128.94,8599.15,4.40306,3571.8215370602184,0
320.518,24210.5,7128.94,8599.14,4.40306,3571.8215370602184,0
320.518,26315.8,7128.94,8599.13,4.40306,3571.8215370602184,0
320.518,28421.1,7128.94,8599.11,4.40306,3571.8215370602184,0
320.518,30526.3,7128.94,8599.1,4.40306,3571.8215370602184,0
320.518,32631.6,7128.94,8599.08,4.40306,3571.8215370602184,0
320.518,34736.8,7128.94,8599.07,4.40306,3571.8215370602184,0
320.518,36842.1,7128.94,8599.05,4.40306,3571.8215370602184,0
320.518,38947.4,7128.94,8599.04,4.40306,3571.8215370602184,0
320.518,41052.6,7128.94,8599.03,4.40306,3571.8215370602184,0
320.518,43157.9,7128.94,8599.01,4.40306,3571.8215370602184,0
320.518,45263.2,7128.94,8599.0,4.40306,3571.8215370602184,0
320.518,47368.4,7128.94,8598.98,4.40306,3571.8215370602184,0
320.518,49473.7,7128.94,8598.97,4.40306,3571.8215370602184,0
320.518,51578.9,7128.94,8598.96,4.40306,3571.8215370602184,0
320.518,53684.2,7128.94,8598.94,4.40306,3571.8215370602184,0
320.518,55789.5,7128.94,8598.93,4.40306,3571.8215370602184,0
320.518,57894.7,7128.94,8598.91,4.40306,3571.8215370602184,0
320.518,60000.0,7128.94,8598.9,4.40306,3571.8215370602184,0
322.097,20000.0,7128.94,8580.19,4.40306,3567.5413878526615,0
322.097,22105.3,7128.94,8580.18,4.40306,3567.5413878526615,0
322.097,24210.5,7128.94,8580.16,4.40306,3567.5413878526615,0
322.097,26315.8,7128.94,8580.15,4.40306,3567.5413878526615,0
322.097,28421.1,7128.94,8580.13,4.40306,3567.5413878526615,0
322.097,30526.3,7128.94,8580.12,4.40306,3567.5413878526615,0
322.097,32631.6,7128.94,8580.11,4.40306,3567.5413878526615,0
322.097,34736.8,7128.94,8580.09,4.40306,3567.5413878526615,0
322.097,36842.1,7128.94,8580.08,4.40306,3567.5413878526615,0
322.097,38947.4,7128.94,8580.06,4.40306,3567.5413878526615,0
322.097,41052.6,7128.94,8580.05,4.40306,3567.5413878526615,0
322.097,43157.9,7128.94,8580.03,4.40306,3567.5413878526615,0
322.097,45263.2,7128.94,8580.02,4.40306,3567.5413878526615,0
322.097,47368.4,7128.94,8580.01,4.40306,3567.5413878526615,0
322.097,49473.7,7128.94,8579.99,4.40306,3567.5413878526615,0
322.097,51578.9,7128.94,8579.98,4.40306,3567.5413878526615,0
322.097,53684.2,7128.94,8579.96,4.40306,3567.5413878526615,0
322.097,55789.5,7128.94,8579.95,4.40306,3567.5413878526615,0
